母牛個体識別番号,母牛オフィシャルID,種雄牛コード,個体識別番号,オフィシャルID,分娩日,子牛品種,出荷・廃用日,出荷・廃用種別,出荷・廃用理由,年月
1262522255,HOJPN001262522255,,,,2016-06-02,その他,,,,2016-06-01
1455137501,HOJPN001455137501,,,,2016-06-29,その他,,,,2016-06-01
1455137686,HOJPN001455137686,,,,2016-08-02,その他,,,,2016-08-01
1355035792,HOJPN001355035792,,,,2016-08-03,その他,,,,2016-08-01
1355035419,HOJPN001355035419,,,,2016-08-21,その他,,,,2016-08-01
1355035228,HOJPN001355035228,,,,2016-09-13,その他,,,,2016-09-01
1381533620,HOJPN001381533620,,,,2016-09-22,その他,,,,2016-09-01
1455137495,HOJPN001455137495,,,,2016-09-29,その他,,,,2016-09-01
1455137136,HOJPN001455137136,,,,2016-10-13,その他,,,,2016-10-01
1305531756,HOJPN001305531756,,,,2016-12-25,その他,,,,2016-12-01
1381533866,HOJPN001381533866,,,,2016-12-27,その他,,,,2016-12-01
1341933101,HOJPN001341933101,,,,2017-01-18,その他,,,,2017-01-01
1347034543,HOJPN001347034543,,,,2017-02-09,その他,,,,2017-02-01
1355035655,HOJPN001355035655,,,,2017-02-21,その他,,,,2017-02-01
1355035532,HOJPN001355035532,,,,2017-02-23,その他,,,,2017-02-01
1354238354,HOJPN001354238354,,,,2017-03-15,その他,,,,2017-03-01
1355035518,HOJPN001355035518,,,,2017-03-23,その他,,,,2017-03-01
1347034338,HOJPN001347034338,,,,2017-03-26,その他,,,,2017-03-01
0853404161,HOJPN000853404161,,,,2017-03-30,その他,,,,2017-03-01
1360432623,HOJPN001360432623,,,,2017-04-02,その他,,,,2017-04-01
1455138171,HOJPN001455138171,,,,2017-04-11,その他,,,,2017-04-01
1305531411,HOJPN001305531411,,,,2017-04-22,その他,,,,2017-04-01
1355036362,HOJPN001355036362,,,,2017-04-23,その他,,,,2017-04-01
1455137075,HOJPN001455137075,,,,2017-05-02,その他,,,,2017-05-01
0250827464,HOJPN000250827464,,,,2017-05-06,その他,,,,2017-05-01
0566405349,HOJPN000566405349,,,,2017-05-09,その他,,,,2017-05-01
1355036591,HOJPN001355036591,,,,2017-06-03,その他,,,,2017-06-01
1355036409,HOJPN001355036409,,,,2017-06-05,その他,,,,2017-06-01
0465606359,HOJPN000465606359,,,,2017-06-09,その他,,,,2017-06-01
1355036447,HOJPN001355036447,,,,2017-06-17,その他,,,,2017-06-01
1354238545,HOJPN001354238545,,,,2017-07-04,その他,,,,2017-07-01
1347034772,HOJPN001347034772,,,,2017-07-12,その他,,,,2017-07-01
1355035594,HOJPN001355035594,,,,2017-07-12,その他,,,,2017-07-01
1354239252,HOJPN001354239252,,,,2017-07-12,その他,,,,2017-07-01
1455137419,HOJPN001455137419,,,,2017-07-13,その他,,,,2017-07-01
1354238576,HOJPN001354238576,,,,2017-08-03,その他,,,,2017-08-01
1347034734,HOJPN001347034734,,,,2017-08-13,その他,,,,2017-08-01
1354238897,HOJPN001354238897,,,,2017-08-17,その他,,,,2017-08-01
